episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1201, 1344.851613998413, 1, 4.114902512000299, 233, 105202,                                             105202, 0.0, 13178.009765625
1202, -511.8979158401489, 1, 6.5390464720003365, 403, 105605,                                             105605, 0.0, 10318.0048828125
1203, 741.9633291959763, 1, 4.508706726000128, 263, 105868,                                             105868, 0.0, 10788.732421875
1204, 1208.2561017274857, 1, 1.9213609509997696, 114, 105982,                                             105982, 0.0, 10025.337890625
1205, 1522.1015956401825, 1, 2.3012013229999866, 134, 106116,                                             106116, 0.0, 11943.8876953125
1206, 1623.837258219719, 1, 1.9201848129996506, 111, 106227,                                             106227, 0.0, 17212.662109375
1207, 1299.7638471722603, 1, 2.3023388379997414, 129, 106356,                                             106356, 0.0, 12556.3544921875
1208, -2920.111916422844, 2, 1.9036928350005837, 99, 106455,                                             106455, 0.0, 14084.7333984375
1209, 1593.5752654075623, 1, 1.7224324859998887, 102, 106557,                                             106557, 0.0, 11311.8447265625
1210, 2025.0169956684113, 1, 1.5019878950006387, 75, 106632,                                             106632, 0.0, 11207.1748046875
1211, 1885.7926133871078, 1, 1.7673918860000413, 93, 106725,                                             106725, 0.0, 11701.3359375
1212, 2021.0836431980133, 1, 1.5209835670002576, 95, 106820,                                             106820, 0.0, 10203.1943359375
1213, 2205.2798835635185, 1, 1.5010147180000786, 74, 106894,                                             106894, 0.0, 11519.5673828125
1214, 1762.9405187368393, 1, 1.7195886640001845, 99, 106993,                                             106993, 0.0, 12340.7529296875
1215, 1805.7926329374313, 1, 1.901014607000434, 95, 107088,                                             107088, 0.0, 10576.6806640625
1216, 1865.1381064653397, 1, 1.301932461999968, 68, 107156,                                             107156, 0.0, 10561.69921875
1217, 1953.7078187465668, 1, 1.5220350370000233, 93, 107249,                                             107249, 0.0, 8482.427734375
1218, 1860.0897639989853, 1, 2.101225718999558, 109, 107358,                                             107358, 0.0, 9587.8935546875
1219, 2121.2214390039444, 1, 1.5024511560004612, 78, 107436,                                             107436, 0.0, 7587.69287109375
1220, 1990.3761603832245, 1, 1.7038437129995145, 86, 107522,                                             107522, 0.0, 12754.8427734375
1221, 1893.2657877206802, 1, 1.7669356790001984, 88, 107610,                                             107610, 0.0, 8993.611328125
1222, 2026.120456457138, 1, 1.5025319699998363, 77, 107687,                                             107687, 0.0, 11139.15625
1223, 1974.9963246583939, 1, 1.5019597640002758, 80, 107767,                                             107767, 0.0, 11934.37890625
1224, 1723.108344078064, 1, 1.7193784579994826, 97, 107864,                                             107864, 0.0, 11730.0712890625
1225, 2022.482119500637, 1, 1.500841035999656, 80, 107944,                                             107944, 0.0, 10225.517578125
1226, 2047.8907120227814, 1, 1.121855262000281, 63, 108007,                                             108007, 0.0, 13537.6435546875
1227, 2178.8710563778877, 1, 1.7003056740004467, 90, 108097,                                             108097, 0.0, 12478.9140625
1228, 1991.875007033348, 1, 1.7220621329997812, 102, 108199,                                             108199, 0.0, 9442.599609375
1229, -2931.887368798256, 2, 1.7014606510001613, 94, 108293,                                             108293, 0.0, 10090.2158203125
1230, 1824.388001203537, 1, 1.9027127529998324, 99, 108392,                                             108392, 0.0, 13233.27734375
1231, 2179.411629796028, 1, 1.5571503930004837, 75, 108467,                                             108467, 0.0, 10737.5166015625
1232, 1820.8730340003967, 1, 1.7025828699997874, 86, 108553,                                             108553, 0.0, 10304.6474609375
1233, 1737.2305881977081, 1, 1.7043843729998116, 88, 108641,                                             108641, 0.0, 10506.2353515625
1234, 1808.6740622520447, 1, 1.7020286050001232, 90, 108731,                                             108731, 0.0, 12345.908203125
1235, 1619.5441273450851, 1, 1.5210789920001844, 94, 108825,                                             108825, 0.0, 8906.263671875
1236, 1905.372970700264, 1, 1.5005224169999565, 77, 108902,                                             108902, 0.0, 13440.646484375
1237, 1759.7517029047012, 1, 1.7228303249994497, 100, 109002,                                             109002, 0.0, 11685.6083984375
1238, 1984.9923264682293, 1, 1.4999205899994195, 79, 109081,                                             109081, 0.0, 8724.419921875
1239, 1917.264678478241, 1, 1.7031153450006968, 85, 109166,                                             109166, 0.0, 11322.2529296875
1240, 1965.313363790512, 1, 1.7023366069997792, 84, 109250,                                             109250, 0.0, 11812.2216796875
1241, 2146.9390187859535, 1, 1.1523315559998082, 69, 109319,                                             109319, 0.0, 12025.458984375
1242, 2008.157089650631, 1, 1.5003288150001026, 75, 109394,                                             109394, 0.0, 11970.189453125
1243, 1931.7335720062256, 1, 1.5206785880000098, 89, 109483,                                             109483, 0.0, 10551.109375
1244, 1665.6651465892792, 1, 2.100427432000288, 112, 109595,                                             109595, 0.0, 10717.5986328125
1245, 2057.680101752281, 1, 1.320786168000268, 78, 109673,                                             109673, 0.0, 10182.0068359375
1246, 2113.447919011116, 1, 1.2985163710000052, 61, 109734,                                             109734, 0.0, 9800.0361328125
1247, 2154.172257423401, 1, 1.5215018159997271, 83, 109817,                                             109817, 0.0, 9782.0263671875
1248, 1827.953288435936, 1, 1.7008214560000852, 93, 109910,                                             109910, 0.0, 9854.392578125
1249, 2187.932296037674, 1, 1.5035541849993024, 79, 109989,                                             109989, 0.0, 9880.3857421875
1250, 2017.6766597032547, 1, 1.5030468539998765, 82, 110071,                                             110071, 0.0, 10625.908203125
1251, 1837.7732594013214, 1, 1.546698897999704, 78, 110149,                                             110149, 0.0, 11618.6796875
1252, 2107.734694957733, 1, 1.1218857130006654, 67, 110216,                                             110216, 0.0, 11688.388671875
1253, 2286.3789334595203, 1, 1.5000831819997984, 72, 110288,                                             110288, 0.0, 10375.17578125
