episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
9601, -5815.86911983788, 1, 28.57874206000008, 1715, 896945,                                             1000000, 0.0, 44353.5234375
9602, 2105.274044394493, 1, 1.7089957569999115, 99, 897044,                                             1000000, 0.0, 43924.5625
9603, -2628.000942647457, 2, 2.100483551000025, 107, 897151,                                             1000000, 0.0, 47985.11328125
9604, -2518.4902148246765, 2, 1.7016119239999625, 83, 897234,                                             1000000, 0.0, 41119.2421875
9605, -3142.1864490509033, 2, 2.6995637159998296, 146, 897380,                                             1000000, 0.0, 49329.66796875
9606, 1921.9031692743301, 1, 1.6992875549999553, 84, 897464,                                             1000000, 0.0, 46543.24609375
9607, 1654.8054797649384, 1, 1.7136172819998592, 106, 897570,                                             1000000, 0.0, 50466.390625
9608, 2002.57903778553, 1, 1.4996623110000655, 75, 897645,                                             1000000, 0.0, 48452.109375
9609, 1914.7721685171127, 1, 1.902332172999877, 98, 897743,                                             1000000, 0.0, 44934.05078125
9610, -2943.979528427124, 2, 3.1015871150000294, 172, 897915,                                             1000000, 0.0, 49817.37890625
9611, -2682.4999021291733, 2, 1.88410374099999, 104, 898019,                                             1000000, 0.0, 41392.08203125
9612, -2451.157278716564, 2, 1.3126410229999692, 79, 898098,                                             1000000, 0.0, 49283.109375
9613, 794.9578240513802, 1, 3.702025625000033, 209, 898307,                                             1000000, 0.0, 41892.55859375
9614, 1425.0153168439865, 1, 2.3018620319999172, 128, 898435,                                             1000000, 0.0, 47727.625
9615, 1575.2548034191132, 1, 3.113616575999913, 172, 898607,                                             1000000, 0.0, 43138.40234375
9616, 1344.814459502697, 1, 2.5117163190000156, 155, 898762,                                             1000000, 0.0, 47026.6640625
9617, -2551.6188731193542, 2, 1.6997358109999823, 83, 898845,                                             1000000, 0.0, 57980.80078125
9618, -2728.2063430547714, 2, 1.9126625829999284, 112, 898957,                                             1000000, 0.0, 46170.2578125
9619, 1561.161345243454, 1, 3.0991409129999283, 170, 899127,                                             1000000, 0.0, 42278.58984375
9620, 1876.9047243595123, 1, 1.5129130220000206, 85, 899212,                                             1000000, 0.0, 42062.15625
